event_id,customer_id,cell_tower_id,region,network_type,device_type,event_type,event_timestamp,signal_strength,latency_ms,dropped_call,data_usage_mb
3919555a-fe93-4c9e-89e9-f678cb6d4e99,336009,TOWER_282,Houston,5G,Pixel,DATA,2026-06-08 13:38:44,-44,350,0,458.32
b52bba51-c81e-4a95-bf4d-51a67fc872d2,539455,TOWER_260,Chicago,4G,Motorola,SMS,2026-06-08 10:59:44,-106,448,1,241.0
b8da6aa4-912a-4eba-affc-bd9995f0580e,476255,TOWER_64,Houston,LTE,iPhone,DATA,2026-06-09 19:57:44,-55,48,0,127.54
8b8b5561-c5f6-436c-8338-9a0cd45e4633,825830,TOWER_156,New York,5G,iPhone,DATA,2026-06-03 20:13:44,-120,263,0,420.35
5a88c836-f663-4e70-95ad-284a2738bf78,869855,TOWER_14,Atlanta,5G,Pixel,CALL,2026-06-09 10:52:44,-126,416,0,228.9
1085a164-8765-4281-9a24-1afe9106d7f3,849271,TOWER_211,Houston,5G,iPhone,CALL,2026-06-04 14:28:44,-47,204,1,23.05
429bd721-f1ac-4c07-9ae5-14696fc963dd,970226,TOWER_478,Houston,5G,Motorola,DATA,2026-06-04 04:50:44,-83,188,0,302.52
7e07f85f-9b57-4f03-a37d-635c2eebc0aa,546761,TOWER_325,Dallas,5G,Pixel,SMS,2026-06-04 09:01:44,-92,359,0,430.22
ade659e8-5a44-4844-b89a-75df328fc878,137702,TOWER_475,Houston,4G,Motorola,CALL,2026-06-04 21:33:44,-57,72,0,467.33
2fd9069b-2fe0-4b89-980b-647031c2846f,716593,TOWER_54,New York,LTE,iPhone,DATA,2026-06-03 07:51:44,-54,461,0,439.03
31dcc352-c63f-4abd-bf59-74cc2fa30216,845251,TOWER_28,Chicago,5G,Samsung,DATA,2026-06-07 04:48:44,-45,104,0,321.28
aa25c907-8edb-4e0d-a834-49af85ccc47f,318970,TOWER_43,Houston,5G,Pixel,CALL,2026-06-03 05:57:44,-87,419,0,404.18
1af9c0da-7ec2-4f9b-8f27-3c1beb0d2324,538292,TOWER_209,Atlanta,5G,Samsung,CALL,2026-06-06 22:16:44,-126,397,0,312.24
ae2d7181-d4a6-4ce4-9640-41e15529b056,537991,TOWER_243,Chicago,LTE,Motorola,SMS,2026-06-04 05:23:44,-94,488,0,138.2
89c37db0-e8d8-464e-b2fa-e565fd74f54a,785075,TOWER_460,Houston,LTE,Motorola,SMS,2026-06-05 23:39:44,-62,458,0,235.16
50eecbda-6734-495d-a525-f28351709b55,906419,TOWER_45,Chicago,LTE,Samsung,DATA,2026-06-08 05:17:44,-79,238,1,97.02
4c3965d0-cfb1-458c-b863-7f9986ac3194,353392,TOWER_12,New York,LTE,Motorola,CALL,2026-06-05 19:25:44,-114,38,1,459.22
2fa48edd-566d-43ac-8134-0e1299cb23c1,556802,TOWER_452,Dallas,LTE,Motorola,SMS,2026-06-08 23:22:44,-66,115,0,49.81
66deb98e-95dd-4659-bf14-23bb35f4dbde,832550,TOWER_336,Austin,4G,Pixel,CALL,2026-06-07 06:25:44,-50,49,0,69.92
ef008a4b-d727-470e-ada0-3450edcb8d51,110968,TOWER_163,Austin,5G,Pixel,SMS,2026-06-07 23:09:44,-47,469,0,110.16
858c931e-81f5-42fa-8271-be9d20dfa7c6,687746,TOWER_199,New York,5G,iPhone,DATA,2026-06-07 02:41:44,-83,193,0,10.79
1f9745bd-6d45-4551-9435-2391365c9067,683504,TOWER_85,Dallas,5G,Samsung,SMS,2026-06-06 02:58:44,-107,83,0,25.89
ce349d29-6961-448b-8ce2-b483bc0a5f22,777079,TOWER_364,Atlanta,LTE,iPhone,CALL,2026-06-09 16:34:44,-51,276,1,231.83
37a2a876-6fb4-4437-810a-4c79046c53c8,310135,TOWER_491,New York,4G,iPhone,CALL,2026-06-08 21:01:44,-72,101,1,437.82
03095283-ea6d-4159-8ed7-7cd6c53c5651,108666,TOWER_239,Dallas,4G,Motorola,CALL,2026-06-06 10:44:44,-105,280,0,256.11
3ca62ed2-ab9e-47f6-af40-8fb879b6d906,248973,TOWER_352,New York,4G,iPhone,DATA,2026-06-06 22:06:44,-102,153,0,425.71
81c0ff90-7459-493c-a7f9-3716f896ca91,218449,TOWER_444,Dallas,LTE,Pixel,CALL,2026-06-08 01:01:44,-91,191,0,55.49
dfbc9c62-550e-4999-86c2-5bb5da400d0d,564742,TOWER_327,Austin,LTE,Samsung,CALL,2026-06-07 09:58:44,-41,202,0,238.84
db6c13bb-0d0e-41e2-a2e1-9eca50e72f4c,378412,TOWER_6,Chicago,LTE,Motorola,CALL,2026-06-06 04:47:44,-81,130,0,450.04
4115a97e-e00b-4888-aaa9-428a354229ee,884817,TOWER_275,Chicago,4G,Pixel,CALL,2026-06-08 03:21:44,-95,30,0,120.33
ce0d948b-d5ef-40a8-be36-e440b85edc09,969742,TOWER_23,Atlanta,5G,Pixel,CALL,2026-06-03 22:26:44,-88,352,0,134.92
fc5a86ed-35f2-4835-8b33-751d3932f3d4,402785,TOWER_245,New York,5G,Motorola,CALL,2026-06-05 13:00:44,-117,407,0,494.29
f1baf67e-2afc-46e3-b18e-23db93bab244,980802,TOWER_459,New York,4G,iPhone,DATA,2026-06-07 12:26:44,-108,80,1,147.7
bc3bb87f-a186-471c-91d8-a25d1e62f6bd,136449,TOWER_204,Houston,LTE,Samsung,CALL,2026-06-05 21:30:44,-88,127,1,133.77
527d804e-cae8-4b0c-b526-cefa1410aef8,808291,TOWER_153,Dallas,4G,Samsung,DATA,2026-06-06 05:59:44,-74,92,0,366.49
3ca83277-3f29-453d-80c6-08334d98aa19,854453,TOWER_259,Austin,4G,Pixel,SMS,2026-06-04 15:32:44,-92,376,1,386.08
5375d433-6d30-4290-b480-13e89c11cf81,607715,TOWER_361,Chicago,5G,Samsung,SMS,2026-06-05 12:28:44,-65,121,0,428.74
e1ff9ebb-a043-4001-820d-4373cad8f73d,978372,TOWER_195,Chicago,5G,Motorola,CALL,2026-06-08 00:21:44,-113,295,0,469.44
ce1647ad-e2eb-4365-a25c-b0ba1101eb30,809631,TOWER_481,Chicago,5G,Pixel,CALL,2026-06-07 01:47:44,-98,77,0,323.18
d3222160-d78a-477c-9dcd-20678935b730,721894,TOWER_283,Chicago,5G,Motorola,SMS,2026-06-06 01:34:44,-78,184,0,433.09
5430c9de-4134-41d3-b204-dbacb64c003d,515785,TOWER_351,Dallas,LTE,Motorola,CALL,2026-06-06 20:40:44,-99,135,0,310.0
741a3f17-cccd-4893-b856-f7ccc0751be5,361064,TOWER_457,Houston,5G,Pixel,CALL,2026-06-09 07:52:44,-98,20,0,288.37
84b793a7-0d2f-4542-bbc6-52ad5e005fd7,903336,TOWER_255,Houston,4G,Pixel,SMS,2026-06-04 23:37:44,-69,87,0,88.5
77b03dd6-757a-4626-81cc-4a75dd6921d6,161566,TOWER_191,Atlanta,5G,Motorola,CALL,2026-06-07 22:06:44,-61,355,0,188.71
6e63564b-f043-4a54-87fd-f416a523520b,959800,TOWER_397,Chicago,4G,Motorola,CALL,2026-06-06 20:22:44,-126,392,0,411.12
59d9ca63-e413-400f-944f-7dffc4583595,395292,TOWER_499,Dallas,LTE,Samsung,DATA,2026-06-04 17:33:44,-65,188,0,255.53
2f44c26d-5517-4366-8c38-4c1fff6bd569,498089,TOWER_44,Houston,LTE,iPhone,DATA,2026-06-07 18:09:44,-80,237,0,337.75
69030aa6-4289-4b9b-8ddd-3b38f0ed011b,366194,TOWER_206,Chicago,5G,iPhone,CALL,2026-06-06 18:00:44,-99,242,0,169.43
23038878-4c04-466d-a7e4-baf93aea5197,403369,TOWER_480,Atlanta,4G,Samsung,SMS,2026-06-08 16:52:44,-116,411,0,256.75
42fa4c23-79a9-4e0e-8da2-4a222b9b1074,821283,TOWER_467,Chicago,5G,Motorola,CALL,2026-06-06 23:45:44,-61,218,1,51.68
5114c71e-f401-45cb-8552-81429b8442d5,295208,TOWER_110,Dallas,LTE,Pixel,DATA,2026-06-07 23:02:44,-108,414,0,6.82
23275643-e84a-4dcd-84f2-b03f0b06ee64,747523,TOWER_402,New York,4G,iPhone,DATA,2026-06-04 18:38:44,-92,51,0,367.81
ede9657d-857c-48cb-82c9-20350946f9a5,927964,TOWER_418,New York,LTE,Motorola,SMS,2026-06-05 12:35:44,-90,225,0,112.08
96bd69f1-5a2a-458a-896f-180e03d31ba6,596353,TOWER_212,Dallas,4G,Motorola,DATA,2026-06-05 07:46:44,-70,280,0,92.11
67b0adaa-0352-4542-a9d2-9b9d448b34c6,295508,TOWER_439,Austin,LTE,iPhone,CALL,2026-06-06 02:11:44,-71,51,0,85.79
2f696eef-8467-475c-97ef-68378fda974b,556750,TOWER_304,Houston,5G,Motorola,SMS,2026-06-07 09:07:44,-77,318,0,284.62
3ad70300-c38b-4c00-8f71-50ecd00b6bbd,736036,TOWER_29,New York,4G,Pixel,CALL,2026-06-06 11:47:44,-129,449,1,123.01
6d2541b9-8702-4423-8299-7273ef005934,731332,TOWER_104,Atlanta,4G,Samsung,SMS,2026-06-07 14:37:44,-73,399,1,57.34
a53b7fb1-202c-4bc7-aca6-f3c6f47edb96,847769,TOWER_435,New York,4G,Motorola,CALL,2026-06-09 08:28:44,-118,201,0,411.62
a8835332-cdae-4520-ba6d-d125785e74ae,628224,TOWER_13,Chicago,5G,iPhone,CALL,2026-06-05 05:00:44,-67,291,1,392.6
